"Subj","#","Title","CRN","Sec","Type","Start Time","End Time","Days","Credits","Building","Room","Instructor","Max Enrollment","Current Enrollment","Attr","Prerequisites"
"MATH","540","Probability & Statistics","15710","01","CLR","13:10","14:00","MWF","4","PCBE","185","TBA","20","0","","MATH 426 or MATH 426H"
"MATH","601","Exploring Mathematics for Teachers I","10155","01","LEC","14:10","16:00","MW","4","KING","N343","TBA","20","0","",""
"MATH","644","Statistics for Engineers and Scientists","11400","01","CLR","14:10","15:30","R","4","KING","N204","Hupper, Veronica Pocsik","20","0","","MATH 426 May be taken concurrently or MATH 426H May be taken concurrently"
"MATH","645","Linear Algebra for Applications","10142","01","LEC","16:10","18:00","MW","4","KING","N113","Short, Kevin M","40","0","","MATH 426 or MATH 426H"
"MATH","645","Linear Algebra for Applications","12764","M1","LEC","10:10","12:00","TR","4","PANDRA","301","Johnson, Jeremiah W","20","0","","MATH 426 or MATH 426H"
"MATH","696","Independent Study","12659","01","INV","Hours Arranged","TBA","TBA","1","TBA","","TBA","1","0","",""
"MATH","700","Introduction to Mathematics Education","10598","01","LEC","16:10","18:00","MW","4","DEM","253","TBA","10","0","","MATH 426 and EDUC 500"
"MATH","703","Teaching of Mathematics in Grades K-6","11999","01","LEC","16:10","18:00","MW","4","KING","N310","TBA","15","0","","MATH 621 or MATH 601"
"MATH","732","Introduction to the R Software","14313","01","LEC","16:10","17:00","W","1","KING","N345","Sanei, Sanam","10","0","",""
"MATH","734","Statistical Computing","12818","01","LEC","11:10","12:30","MWF","4","KING","W389","Zhang, Qi","10","0","","MATH 738 May be taken concurrently or MATH 739 May be taken concurrently"
"MATH","734","Statistical Computing","12819","02","LEC","11:10","12:30","MWF","4","ONLINE","","Zhang, Qi","5","0","","MATH 738 May be taken concurrently or MATH 739 May be taken concurrently"
"MATH","739","Applied Regression Analysis","10157","01","LEC","08:10","09:30","MWF","4","KING","S320","Geng, Pei","20","0","WRIT","MATH 539 or MATH 644"
"MATH","739","Applied Regression Analysis","12278","02","LEC","08:10","09:30","MWF","4","ONLINE","","Geng, Pei","5","0","WRIT","MATH 539 or MATH 644"
"MATH","740","Design of Experiments I","11016","01","LEC","Hours Arranged","TBA","TBA","4","ONLINE","","Capozzoli, Michelle H","10","0","","MATH 539 or MATH 644"
"MATH","745","Foundations of Applied Mathematics I","10593","01","LEC","14:10","15:30","MWF","4","KING","N133","Lyon, Mark E.","10","0","","MATH 527 and MATH 528"
"MATH","753","Introduction to Numerical Methods I","12033","01","LEC","12:40","14:00","MWF","4","KING","N343","Lyon, Mark E.","15","0","","MATH 426 and ( MATH 445 or CS 410C or CS 410P or IAM 550 )"
"MATH","755","Probability with Applications","10444","01","LEC","09:40","11:00","MWF","4","KING","S320","Li, Linyuan","15","0","","MATH 528 and ( MATH 539 or MATH 644 )"
"MATH","760","Geometry","11499","01","LEC","14:10","16:00","MW","4","KING","N310","Buchbinder, Orly","20","0","WRIT","MATH 531"
"MATH","761","Abstract Algebra","10156","01","LEC","09:40","11:00","MWF","4","KING","N343","TBA","10","0","WRIT","MATH 531"
"MATH","767","One-Dimensional Real Analysis","10478","01","LEC","11:10","12:30","MWF","4","KING","N328","Hibschweiler, Rita A","15","0","WRIT","MATH 531"
"MATH","770","Foundations of Number Theory","15677","01","LEC","14:10","15:30","MWF","4","HS","103","TBA","10","0","","MATH 531"
"MATH","784","Topology","10412","01","LEC","08:10","09:30","MWF","4","KING","N334","TBA","10","0","WRIT","MATH 767"
"MATH","797","Senior Seminar","14787","01","SEM","16:10","18:00","MW","4","PARS","NB22","Feldman, David V","10","0","",""
"MATH","798","Senior Project","11216","01","CPP","Hours Arranged","TBA","TBA","4","TBA","","TBA","1","0","",""
"MATH","799","Senior Thesis","10628","01","THE","Hours Arranged","TBA","TBA","2","TBA","","TBA","1","0","WRIT",""
"MATH","800","Introduction to Mathematics Education","13283","01","LEC","16:10","18:00","MW","3","DEM","253","TBA","5","0","",""
"MATH","801","Exploring Mathematics for Teachers I","11502","01","LEC","14:10","16:00","MW","3","KING","N343","TBA","5","0","","( EDUC 500 or EDUC 935 with minimum grade of B- )"
"MATH","803","Teaching of Mathematics in Grades K-6","13284","01","LEC","16:10","18:00","MW","3","KING","N310","TBA","5","0","","MATH 801 with minimum grade of B-"
"MATH","805","Introduction to Mathematics and Statistics Teaching","13276","01","SEM","17:10","18:00","W","1","KING","W390","Sager, Lauren Beth Meitzler","10","0","",""
"MATH","832","Introduction to the R Software","14318","01","LEC","16:10","17:00","W","1","KING","N345","Sanei, Sanam","5","0","",""
"MATH","834","Statistical Computing","12721","01","LEC","11:10","12:30","MWF","3","KING","W389","Zhang, Qi","5","0","","MATH 835 with minimum grade of B- or MATH 838 with minimum grade of B- or MATH 839 with minimum grade of B-"
"MATH","834","Statistical Computing","12722","02","LEC","11:10","12:30","MWF","3","ONLINE","","Zhang, Qi","5","0","","MATH 835 with minimum grade of B- or MATH 838 with minimum grade of B- or MATH 839 with minimum grade of B-"
"MATH","835","Statistical Methods for Research","10468","01","LEC","09:40","11:00","MW","3","HS","344","Zhang, Qi","10","0","",""
