"Subj","#","Title","CRN","Sec","Type","Start Time","End Time","Days","Credits","Building","Room","Instructor","Max Enrollment","Current Enrollment","Attr","Prerequisites"
"LGP","921","Constitutional Law II","14064","01","LEC","09:30","11:00","TF","3","UNHL","200","Klementowicz, Kelsey","70","0","","LGP 918"
"LGP","924","Evidence","14066","01","LEC","15:30","17:00","MW","3","UNHL","204","Davis, Melissa L","60","0","LBAR",""
"LGP","924","Evidence","15848","02","LEC","09:00","10:30","TF","3","UNHL","205","Richey, Susan M","75","0","LBAR",""
"LGP","925","Expert Witness and Scientific Evidence","14067","01","EXP","11:00","12:30","MW","3","UNHL","274","Scherr, Albert E","25","0","LEXP","( LSK 928 May be taken concurrently or LSK 928 with minimum grade of P May be taken concurrently ) and ( LGP 924 May be taken concurrently or LGP 924 with minimum grade of P May be taken concurrently )"
"LGP","926","Family Law","14068","01","LEC","17:15","20:15","R","3","UNHL","205","Maldonado-Goujon, Crystal M","50","0","LBAR",""
"LGP","926","Family Law","15896","1LH","LEC","Hours Arranged","TBA","TBA","3","ONLINE","","Sachdev, Raj","50","0","LBAR",""
"LGP","931","Health Law","14069","01","LEC","17:15","19:15","M","2","UNHL","229","Pliakos, Laurie Beth B","25","0","",""
"LGP","933","Immigration Law","14070","01","LEC","17:30","20:30","T","3","UNHL","274","Shayo, Lina B","25","0","",""
"LGP","939","Privacy Law","14129","01","LEC","15:00","17:00","W","2","UNHL","200","Sachdev, Raj","75","0","",""
"LGP","951","Professional Responsibility","14071","01","LEC","15:30","17:00","TR","3","UNHL","204","Jefferson, Julian B","50","0","",""
"LGP","952","Property","14072","1LH","LEC","Hours Arranged","TBA","TBA","4","ONLINE","","Rosen, Zvi S","50","0","",""
"LGP","952","Property","15843","2LH","LEC","Hours Arranged","TBA","TBA","4","TBA","","Abely, Christine","50","0","",""
"LGP","956","Pro Sports Law: Unique Relationship, Leagues, Team and Players","14074","01","LEC","08:30","10:30","W","2","UNHL","200","McCann, Michael A","50","0","",""
"LGP","960","Torts","14076","01","LEC","11:00","12:30","MW","3","UNHL","204","McCollum, Andrea K","80","0","",""
"LGP","960","Torts","14075","02","LEC","11:00","12:30","MW","3","UNHL","229","Pi, Daniel","80","0","",""
"LGP","962","Intellectual Property, Biotechnology and Pharmaceutical: Developing & Commercializing Innovation","15851","1LH","SEM","09:00","17:00","RFSU","2","OFFCMP","TBD","Leicher, Bruce","30","0","",""
"LGP","971","BioInnovation Research Collaboration and the Law","14120","1LH","LEC","Hours Arranged","TBA","TBA","2","ONLINE","","Leicher, Bruce","30","0","",""
"LGP","973","Extended Bar Review","14121","1LH","LEC","Hours Arranged","TBA","TBA","2","ONLINE","","TBA","50","0","LBAR",""
"LGP","990","Law Special Topics","15069","01","SPT","13:00","14:30","MW","1","UNHL","204","Abely, Christine","65","0","",""
"LGP","990","Law Special Topics","15866","1LH","LEC","09:00","17:00","TWRF","1","UNHL","200","Gleason, Kelleigh Lynn","30","0","LBAR",""
