"Subj","#","Title","Comp Numb","Sec","Lec Lab","Start Time","End Time","Days","Credits","Bldg","Room","Instructor","Max Enrollment","Current Enrollment","Attr","Prerequisites"
"ARTH","2200","Indian and Islamic Art","94461","A","LEC","15:30","16:45","M W","3","","","D. DeLuca","0","0","AH1","ARTH 1016 or ARTH 1410"
"ARTH","2600","South Korean Postwar Art","95715","OL1","X","TBA","TBA","","3","","","S. Choi","0","0","","ARTH 1018 , ARTH 1420 , FTS 1420 , or FTS 1430"
"ARTH","2602","Contemp East Asian Art","96128","OL1","X","TBA","TBA","","3","","","S. Choi","0","0","AH1|D2","ARTH 1018 , ARTH 1420 , FTS 1420 , or FTS 1430"
"ARTH","2870","Art and Activism","95686","TR1","LEC","TBA","TBA","","3","","","M. Beltre","0","0","","Instructor permission"
"ARTH","2885","African-Amer Art History","95717","A","LEC","14:50","16:05","T R","3","","","S. Richter","0","0","","Three hours in Art History"
"ARTH","2885","Queering Art History","95718","B","LEC","11:40","12:55","T R","3","","","A. Lehner","0","0","","Three hours in Art History"
"ARTH","3000","Art and its Destruction","93821","A","SEM","13:15","16:15","W","3","","","K. Helmstutler-Di Dio","0","0","AH1|WIL2","Six hours of 2000-level Art History, including three hours in the area of the seminar; minimum Junior standing"
"ARTH","3991","CL:Int:Campus Art Projects","93822","A","IND","11:40","12:30","W","3","","","K. Helmstutler-Di Dio","0","0","CL","Six hours of Art History courses at the 2000-level; Junior standing; departmental permission"
"ARTH","3991","Internship","95206","B","8","17:05","19:05","W","3","","","P. Fraser","0","0","CL","Six hours of Art History courses at the 2000-level; Junior standing; departmental permission"
"ARTH","3995","Undergraduate Research","93419","A","TD","17:05","19:05","W","1 to 18","","","P. Fraser","0","0","","Department permission"
"ARTH","4994","Teaching Assistantship","93420","A","IND","17:05","19:05","W","1 to 3","","","P. Fraser","0","0","",""
"ARTH","4996","Honors","93361","A","H","TBA","TBA","","1 to 6","","","P. Fraser","0","0","",""
"ARTS","1014","FYS Perspectives on Art Making","94712","A","SEM","09:30","11:30","T R","4","","","N. Gupit","0","0","AH1|WIL1",""
"ARTS","1014","FYS Perspectives on Art Making","96087","B","SEM","09:00","11:00","T R","4","","","J. Karson","0","0","AH1|WIL1",""
"ARTS","1014","FYS Perspectives on Art Making","96118","C","SEM","09:30","11:30","T R","4","","","C. Kojzar","0","0","AH1|WIL1",""
"ARTS","1100","Drawing","94713","A","E","09:00","11:00","M W","4","","","M. Bang","0","0","AH1",""
"ARTS","1100","Drawing","94714","B","E","11:30","13:30","M W","4","","","M. Bang","0","0","AH1",""
"ARTS","1100","Drawing","94715","C","E","09:00","11:00","T R","4","","","M. Bang","0","0","AH1",""
"ARTS","1100","Drawing","94716","D","E","09:00","11:00","M W","4","","","J. Mayhew","0","0","AH1",""
"ARTS","1100","Drawing","94717","E","E","11:30","13:30","M W","4","","","M. McDevitt","0","0","AH1",""
"ARTS","1100","Drawing","94718","F","E","14:00","16:00","M W","4","","","M. McDevitt","0","0","AH1",""
"ARTS","1400","Perspectives on Art Making","94721","A","O","09:00","11:00","M W","4","","","M. Wood","0","0","AH1",""
"ARTS","1400","Perspectives on Art Making","94722","B","O","11:30","13:30","M W","4","","","M. Wood","0","0","AH1",""
"ARTS","1400","Perspectives on Art Making","94723","C","O","14:00","16:00","T R","4","","","A. Lehner","0","0","AH1",""
"ARTS","1400","Perspectives on Art Making","94724","D","O","09:00","11:00","T R","4","","","j. berger","0","0","AH1",""
"ARTS","1400","Perspectives on Art Making","94725","E","O","11:30","13:30","T R","4","","","j. berger","0","0","AH1",""
"ARTS","1400","Perspectives on Art Making","94776","F","O","11:30","13:30","T R","4","","","J. Karson","0","0","AH1",""
"ARTS","1400","Perspectives on Art Making","95737","G","O","11:30","13:30","M W","4","","","H. Wallner","0","0","AH1",""
"ARTS","1990","Art and Environment","95739","A","1","14:50","15:40","T","1","","","N. Gupit","0","0","",""
"ARTS","1990","Professional Practices","95740","B","E","16:25","17:15","R","1","","","A. Lehner","0","0","",""
"ARTS","2030","Sound Art","95741","A","E","09:00","10:50","M W","3","","","A. Madsen","0","0","","ARTS 1010 , ARTS 1011 , ARTS 1014 , ARTS 1100 , or ARTS 1400"
"ARTS","2040","Printing in Public Spaces","95742","A","E","14:30","15:50","T R","3","","","j. berger","0","0","","ARTS 1010 , ARTS 1011 , ARTS 1014 , ARTS 1100 , or ARTS 1400"
"ARTS","2110","Figure Drawing","95743","A","G","11:40","13:30","T R","3","","","M. Bang","0","0","","ARTS 1010 , ARTS 1011 , ARTS 1014 , ARTS 1100 , or ARTS 1400"
"ARTS","2200","Representing Landscapes","95744","A","E","09:30","11:20","M W","3","","","S. Budington","0","0","AH1","ARTS 1010 , ARTS 1011 , ARTS 1014 , ARTS 1100 , or ARTS 1400"
"ARTS","2220","Painting: Color and Invention","95745","A","O","13:20","15:10","T R","3","","","P. Fraser","0","0","AH1","ARTS 1010 , ARTS 1011 , ARTS 1014 , ARTS 1100 , or ARTS 1400"
"ARTS","2300","Top in Printmaking Risograph","95746","A","E","09:00","10:50","M W","3","","","H. Wallner","0","0","AH1","ARTS 1010 , ARTS 1011 , ARTS 1014 , ARTS 1100 , or ARTS 1400"
"ARTS","2320","Printmaking: Silkscreen","94732","A","O","14:00","15:50","M W","3","","","M. Wood","0","0","","ARTS 1010 , ARTS 1011 , ARTS 1014 , ARTS 1100 , or ARTS 1400"
"ARTS","2410","Graphic Design","94733","A","E","08:30","10:20","M W","3","","","J. Siddle","0","0","AH1","ARTS 1010 , ARTS 1011 , ARTS 1014 , ARTS 1100 , or ARTS 1400"
"ARTS","2510","Photography","94735","A","E","10:05","11:55","M W","3","","","W. McDowell","0","0","AH1","ARTS 1010 , ARTS 1011 , ARTS 1014 , ARTS 1100 , ARTS 1400 , FTS 1420 , or FTS 1430"
"ARTS","2510","Photography","95747","B","E","13:10","15:00","M W","3","","","W. McDowell","0","0","AH1","ARTS 1010 , ARTS 1011 , ARTS 1014 , ARTS 1100 , ARTS 1400 , FTS 1420 , or FTS 1430"
"ARTS","2520","Color Photography","94736","A","O","09:30","11:20","T R","3","","","N. Bull","0","0","AH1","ARTS 1010 , ARTS 1011 , ARTS 1014 , ARTS 1100 , or ARTS 1400"
"ARTS","2520","Color Photography","94749","B","O","13:10","15:00","T R","3","","","N. Bull","0","0","AH1","ARTS 1010 , ARTS 1011 , ARTS 1014 , ARTS 1100 , or ARTS 1400"
"ARTS","2600","Digital Art and Ecology","94737","A","E","11:30","13:20","M W","3","","","J. Mayhew","0","0","AH1","ARTS 1010 , ARTS 1011 , ARTS 1014 , ARTS 1100 , or ARTS 1400"
"ARTS","2600","Digital Art and Ecology","95748","B","E","13:40","15:30","M W","3","","","J. Mayhew","0","0","AH1","ARTS 1010 , ARTS 1011 , ARTS 1014 , ARTS 1100 , or ARTS 1400"
"ARTS","2630","Animation for Artists","96209","A","E","14:00","15:40","T R","3","","","H. Wallner","0","0","","ARTS 1010 , ARTS 1011 , ARTS 1014 , ARTS 1100 , ARTS 1400 , ARTS 1600 , FTS 1020 , or FTS 1430"
"ARTS","2640","Introduction to Video Art","94738","A","O","11:20","13:10","M W","3","","","A. Madsen","0","0","","ARTS 1010 , ARTS 1011 , ARTS 1014 , ARTS 1100 , ARTS 1400 , ARTS 1600 , FTS 1420 , or FTS 1430"
"ARTS","2710","Clay: Hand Building","95750","A","O","09:00","10:50","T R","3","","","H. Barringer","0","0","AH1","ARTS 1010 , ARTS 1011 , ARTS 1014 , ARTS 1100 , or ARTS 1400"
